name,link,year,employees,avg,median
Virginia Division of Debt Collections,https://govsalaries.com/salaries/VA/virginia-division-of-debt-collections?year=2020,2020,22,56049,56049
Lee County Public Service Authority,https://govsalaries.com/salaries/VA/lee-county-public-service-authority?year=2020,2020,22,34006,34006
Campbell County Utilities and Service Authority,https://govsalaries.com/salaries/VA/campbell-county-utilities-and-service-authority?year=2020,2020,21,73544,73544
Town of Windsor,https://govsalaries.com/salaries/VA/town-of-windsor?year=2020,2020,21,29857,29857
Town of Middleburg,https://govsalaries.com/salaries/VA/town-of-middleburg?year=2020,2020,21,58732,58732
Town of Broadway,https://govsalaries.com/salaries/VA/town-of-broadway?year=2020,2020,20,60389,60389
Virginia Resources Authority,https://govsalaries.com/salaries/VA/virginia-resources-authority?year=2020,2020,20,90603,90603
Town of Edinburg,https://govsalaries.com/salaries/VA/town-of-edinburg?year=2020,2020,20,17600,17600
Virginia Resources Authority,https://govsalaries.com/salaries/VA/virginia-resources-authority?year=2020,2020,20,90603,90603
Town of Waverly,https://govsalaries.com/salaries/VA/town-of-waverly?year=2020,2020,20,33200,33200
State Compensation Board,https://govsalaries.com/salaries/VA/state-compensation-board?year=2020,2020,19,52374,52374
Virginia Management Fellows Program,https://govsalaries.com/salaries/VA/virginia-management-fellows-program?year=2020,2020,19,24554,24554
Town of Rich Creek,https://govsalaries.com/salaries/VA/town-of-rich-creek?year=2020,2020,19,13907,13907
Accomack-Northampton Transportation District Commission,https://govsalaries.com/salaries/VA/accomack-northampton-transportation-district-commission?year=2020,2020,19,23646,23646
Halifax County-South Boston Regional Library,https://govsalaries.com/salaries/VA/halifax-county-south-boston-regional-library?year=2020,2020,18,15126,15126
Transportation District of Northern Virginia,https://govsalaries.com/salaries/VA/transportation-district-of-northern-virginia?year=2020,2020,17,106427,106427
Town of Boykins,https://govsalaries.com/salaries/VA/town-of-boykins?year=2020,2020,17,5077,5077
Meherrin Regional Library,https://govsalaries.com/salaries/VA/meherrin-regional-library?year=2020,2020,17,17429,17429
Town of Onley,https://govsalaries.com/salaries/VA/town-of-onley?year=2020,2020,17,20312,20312
Board of Accountancy,https://govsalaries.com/salaries/VA/board-of-accountancy?year=2020,2020,17,54036,54036
Town of Gretna,https://govsalaries.com/salaries/VA/town-of-gretna?year=2020,2020,16,40451,40451
Town of Chase City,https://govsalaries.com/salaries/VA/town-of-chase-city?year=2020,2020,15,48072,48072
Town of Hamilton,https://govsalaries.com/salaries/VA/town-of-hamilton?year=2020,2020,15,12875,12875
Town of Timberville,https://govsalaries.com/salaries/VA/town-of-timberville?year=2020,2020,15,50273,50273
